Time;Object;Staytime
18/10/2023 8:54:21;MAQUINA;2,866646
18/10/2023 8:54:26;MAQUINA2;5,000000
18/10/2023 8:54:33;MAQUINA;3,066731
18/10/2023 8:55:02;MAQUINA;0,068786
18/10/2023 8:55:10;MAQUINA2;2,000000
18/10/2023 8:55:16;MAQUINA;9,548476
18/10/2023 8:55:16;MAQUINA2;1,000000
18/10/2023 8:55:16;MAQUINA;0,400048
18/10/2023 8:55:29;MAQUINA;1,286253
18/10/2023 8:55:33;MAQUINA;1,401645
18/10/2023 8:55:33;MAQUINA2;4,000000
18/10/2023 8:55:41;MAQUINA;3,270043
18/10/2023 8:55:47;MAQUINA;2,775564
18/10/2023 8:56:03;MAQUINA;4,295131
18/10/2023 8:56:26;MAQUINA;5,488812
18/10/2023 8:56:31;MAQUINA;0,083939
18/10/2023 8:56:36;MAQUINA;4,052938
18/10/2023 8:56:57;MAQUINA;7,965498
18/10/2023 8:57:00;MAQUINA2;4,000000
18/10/2023 8:57:20;MAQUINA;13,331513
18/10/2023 8:57:20;MAQUINA2;1,000000
18/10/2023 8:57:32;MAQUINA;0,281995
18/10/2023 8:57:56;MAQUINA;0,043167
18/10/2023 8:58:12;MAQUINA;0,491875
18/10/2023 8:58:16;MAQUINA2;4,000000
18/10/2023 8:58:21;MAQUINA;0,429727
18/10/2023 8:58:23;MAQUINA2;2,000000
18/10/2023 8:58:27;MAQUINA;0,141913
18/10/2023 8:58:43;MAQUINA;0,835654
18/10/2023 8:59:15;MAQUINA;1,652860
18/10/2023 8:59:16;MAQUINA2;2,000000
18/10/2023 8:59:20;MAQUINA;2,003369
18/10/2023 8:59:29;MAQUINA;7,846229
18/10/2023 8:59:34;MAQUINA;0,808165
18/10/2023 8:59:40;MAQUINA;3,302665
18/10/2023 9:00:20;MAQUINA;3,715577
18/10/2023 9:00:26;MAQUINA;0,847240
18/10/2023 9:00:49;MAQUINA;4,022327
18/10/2023 9:00:49;MAQUINA2;4,000000
18/10/2023 9:00:56;MAQUINA;6,793147
18/10/2023 9:01:02;MAQUINA;5,290613
18/10/2023 9:01:12;MAQUINA;5,731000
18/10/2023 9:01:48;MAQUINA;1,030203
18/10/2023 9:02:14;MAQUINA;0,189796
18/10/2023 9:03:24;MAQUINA;5,503888
18/10/2023 9:03:32;MAQUINA;1,471973
18/10/2023 9:03:42;MAQUINA;5,637852
18/10/2023 9:04:15;MAQUINA;3,093897
18/10/2023 9:04:18;MAQUINA;1,978131
18/10/2023 9:04:31;MAQUINA;2,113109
18/10/2023 9:04:44;MAQUINA;11,099327
18/10/2023 9:04:55;MAQUINA;9,437659
18/10/2023 9:05:02;MAQUINA;0,404977
18/10/2023 9:05:10;MAQUINA;2,483795
18/10/2023 9:05:13;MAQUINA2;3,000000
18/10/2023 9:05:32;MAQUINA;3,395444
18/10/2023 9:06:04;MAQUINA;4,358210
18/10/2023 9:06:09;MAQUINA;4,165679
18/10/2023 9:06:21;MAQUINA;10,328763
18/10/2023 9:06:23;MAQUINA2;2,000000
18/10/2023 9:06:29;MAQUINA;6,660081
18/10/2023 9:06:42;MAQUINA2;3,000000
18/10/2023 9:06:44;MAQUINA;4,687042
18/10/2023 9:06:55;MAQUINA;1,652152
18/10/2023 9:07:00;MAQUINA;0,817804
18/10/2023 9:07:02;MAQUINA;1,204625
18/10/2023 9:07:02;MAQUINA;0,163457
18/10/2023 9:07:03;MAQUINA;0,290930
18/10/2023 9:07:12;MAQUINA;1,536318
18/10/2023 9:07:13;MAQUINA;1,565012
18/10/2023 9:07:16;MAQUINA2;5,000000
18/10/2023 9:07:16;MAQUINA;0,509599
18/10/2023 9:07:25;MAQUINA;1,432030
18/10/2023 9:07:28;MAQUINA2;3,000000
18/10/2023 9:07:44;MAQUINA;1,597748
18/10/2023 9:07:45;MAQUINA2;1,000000
18/10/2023 9:08:35;MAQUINA;4,970303
18/10/2023 9:08:44;MAQUINA;0,512645
18/10/2023 9:08:49;MAQUINA;3,126756
18/10/2023 9:09:06;MAQUINA;1,867101
18/10/2023 9:09:11;MAQUINA;2,462912
18/10/2023 9:09:12;MAQUINA2;2,000000
18/10/2023 9:09:45;MAQUINA;1,938764
18/10/2023 9:09:46;MAQUINA2;3,000000
18/10/2023 9:10:00;MAQUINA;0,617334
18/10/2023 9:10:14;MAQUINA;3,396357
18/10/2023 9:10:15;MAQUINA2;1,000000
18/10/2023 9:10:23;MAQUINA2;1,000000
18/10/2023 9:10:24;MAQUINA;3,989611
18/10/2023 9:10:27;MAQUINA;1,852343
